Port,Protocol,Service,Description,Risk,Category,Recommendation
1985,tcp,hsrp,Hot Standby Router Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1985,udp,hsrp,Hot Standby Router Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1986,tcp,licensedaemon,cisco license management,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1986,udp,licensedaemon,cisco license management,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1987,tcp,tr-rsrb-p1,cisco RSRB Priority 1 port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1987,udp,tr-rsrb-p1,cisco RSRB Priority 1 port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1988,tcp,tr-rsrb-p2,cisco RSRB Priority 2 port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1988,udp,tr-rsrb-p2,cisco RSRB Priority 2 port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1989,tcp,tr-rsrb-p3,cisco RSRB Priority 3 port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1989,udp,tr-rsrb-p3,cisco RSRB Priority 3 port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1989,tcp,mshnet,MHSnet system,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1989,udp,mshnet,MHSnet system,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1990,tcp,stun-p1,cisco STUN Priority 1 port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1990,udp,stun-p1,cisco STUN Priority 1 port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1991,tcp,stun-p2,cisco STUN Priority 2 port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1991,udp,stun-p2,cisco STUN Priority 2 port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1992,tcp,stun-p3,cisco STUN Priority 3 port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1992,udp,stun-p3,cisco STUN Priority 3 port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1992,tcp,ipsendmsg,IPsendmsg,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1992,udp,ipsendmsg,IPsendmsg,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1993,tcp,snmp-tcp-port,cisco SNMP TCP port,LOW,Network Infrastructure,Restrict access to trusted networks; Monitor traffic; Keep services patched.
1993,udp,snmp-tcp-port,cisco SNMP TCP port,LOW,Network Infrastructure,Restrict access to trusted networks; Monitor traffic; Keep services patched.
1994,tcp,stun-port,cisco serial tunnel port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1994,udp,stun-port,cisco serial tunnel port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1995,tcp,perf-port,cisco perf port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1995,udp,perf-port,cisco perf port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1996,tcp,tr-rsrb-port,cisco Remote SRB port,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
1996,udp,tr-rsrb-port,cisco Remote SRB port,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
1997,tcp,gdp-port,cisco Gateway Discovery Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1997,udp,gdp-port,cisco Gateway Discovery Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1998,tcp,x25-svc-port,cisco X.25 service (XOT),LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1998,udp,x25-svc-port,cisco X.25 service (XOT),LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1999,tcp,tcp-id-port,cisco identification port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
1999,udp,tcp-id-port,cisco identification port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2000,tcp,cisco-sccp,Cisco SCCP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2000,udp,cisco-sccp,Cisco SCCp,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2001,tcp,dc,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2001,udp,wizard,curry,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2002,tcp,globe,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2002,udp,globe,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2003,tcp,brutus,Brutus Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2003,udp,brutus,Brutus Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2004,tcp,mailbox,,MEDIUM,Email Services,"Enable SPF, DKIM and DMARC; Enforce TLS; Prevent open relay."
2004,udp,emce,CCWS mm conf,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2005,tcp,berknet,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2005,udp,oracle,,MEDIUM,Database,Restrict database access; Disable public exposure; Enable encryption; Use strong authentication.
2006,tcp,invokator,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2006,udp,raid-cd,raid,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2007,tcp,dectalk,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2007,udp,raid-am,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2008,tcp,conf,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2008,udp,terminaldb,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2009,tcp,news,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2009,udp,whosockami,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2010,tcp,search,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2010,udp,pipe-server,"IANA assigned this well-formed service name as a replacement for ""pipe_server"".",LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2010,udp,pipe_server,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2011,tcp,raid-cc,raid,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2011,udp,servserv,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2012,tcp,ttyinfo,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2012,udp,raid-ac,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2013,tcp,raid-am,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2013,udp,raid-cd,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2014,tcp,troff,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2014,udp,raid-sf,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2015,tcp,cypress,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2015,udp,raid-cs,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2016,tcp,bootserver,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2016,udp,bootserver,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2017,tcp,cypress-stat,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2017,udp,bootclient,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2018,tcp,terminaldb,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2018,udp,rellpack,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2019,tcp,whosockami,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2019,udp,about,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2020,tcp,xinupageserver,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2020,udp,xinupageserver,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2021,tcp,servexec,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2021,udp,xinuexpansion1,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2022,tcp,down,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2022,udp,xinuexpansion2,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2023,tcp,xinuexpansion3,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2023,udp,xinuexpansion3,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2024,tcp,xinuexpansion4,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2024,udp,xinuexpansion4,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2025,tcp,ellpack,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2025,udp,xribs,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2026,tcp,scrabble,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2026,udp,scrabble,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2027,tcp,shadowserver,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2027,udp,shadowserver,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2028,tcp,submitserver,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2028,udp,submitserver,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2029,tcp,hsrpv6,Hot Standby Router Protocol IPv6,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2029,udp,hsrpv6,Hot Standby Router Protocol IPv6,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2030,tcp,device2,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2030,udp,device2,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2031,tcp,mobrien-chat,mobrien-chat,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2031,udp,mobrien-chat,mobrien-chat,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2032,tcp,blackboard,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2032,udp,blackboard,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2033,tcp,glogger,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2033,udp,glogger,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2034,tcp,scoremgr,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2034,udp,scoremgr,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2035,tcp,imsldoc,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2035,udp,imsldoc,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2036,tcp,e-dpnet,Ethernet WS DP network,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2036,udp,e-dpnet,Ethernet WS DP network,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2037,tcp,applus,APplus Application Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2037,udp,applus,APplus Application Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2038,tcp,objectmanager,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2038,udp,objectmanager,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2039,tcp,prizma,Prizma Monitoring Service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2039,udp,prizma,Prizma Monitoring Service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2040,tcp,lam,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2040,udp,lam,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2041,tcp,interbase,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2041,udp,interbase,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2042,tcp,isis,isis,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2042,udp,isis,isis,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2043,tcp,isis-bcast,isis-bcast,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2043,udp,isis-bcast,isis-bcast,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2044,tcp,rimsl,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2044,udp,rimsl,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2045,tcp,cdfunc,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2045,udp,cdfunc,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2046,tcp,sdfunc,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2046,udp,sdfunc,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2047,tcp,dls,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2047,udp,dls,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2048,tcp,dls-monitor,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2048,udp,dls-monitor,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2049,tcp,shilp,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2049,udp,shilp,,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2049,tcp,nfs,Network File System - Sun Microsystems,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2049,udp,nfs,Network File System - Sun Microsystems,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2049,sctp,nfs,Network File System,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2050,tcp,av-emb-config,Avaya EMB Config Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2050,udp,av-emb-config,Avaya EMB Config Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2051,tcp,epnsdp,EPNSDP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2051,udp,epnsdp,EPNSDP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2052,tcp,clearvisn,clearVisn Services Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2052,udp,clearvisn,clearVisn Services Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2053,tcp,lot105-ds-upd,Lot105 DSuper Updates,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2053,udp,lot105-ds-upd,Lot105 DSuper Updates,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2054,tcp,weblogin,Weblogin Port,LOW,Web Services,Enable HTTPS; Keep web server updated; Use a Web Application Firewall (WAF).
2054,udp,weblogin,Weblogin Port,LOW,Web Services,Enable HTTPS; Keep web server updated; Use a Web Application Firewall (WAF).
2055,tcp,iop,Iliad-Odyssey Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2055,udp,iop,Iliad-Odyssey Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2056,tcp,omnisky,OmniSky Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2056,udp,omnisky,OmniSky Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2057,tcp,rich-cp,Rich Content Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2057,udp,rich-cp,Rich Content Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2058,tcp,newwavesearch,NewWaveSearchables RMI,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2058,udp,newwavesearch,NewWaveSearchables RMI,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2059,tcp,bmc-messaging,BMC Messaging Service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2059,udp,bmc-messaging,BMC Messaging Service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2060,tcp,teleniumdaemon,Telenium Daemon IF,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2060,udp,teleniumdaemon,Telenium Daemon IF,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2061,tcp,netmount,NetMount,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2061,udp,netmount,NetMount,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2062,tcp,icg-swp,ICG SWP Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2062,udp,icg-swp,ICG SWP Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2063,tcp,icg-bridge,ICG Bridge Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2063,udp,icg-bridge,ICG Bridge Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2064,tcp,icg-iprelay,ICG IP Relay Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2064,udp,icg-iprelay,ICG IP Relay Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2065,tcp,dlsrpn,Data Link Switch Read Port Number,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2065,udp,dlsrpn,Data Link Switch Read Port Number,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2066,tcp,aura,AVM USB Remote Architecture,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
2066,udp,aura,AVM USB Remote Architecture,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
2067,tcp,dlswpn,Data Link Switch Write Port Number,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2067,udp,dlswpn,Data Link Switch Write Port Number,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2068,tcp,avauthsrvprtcl,Avocent AuthSrv Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2068,udp,avauthsrvprtcl,Avocent AuthSrv Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2069,tcp,event-port,HTTP Event Port,LOW,Web Services,Enable HTTPS; Keep web server updated; Use a Web Application Firewall (WAF).
2069,udp,event-port,HTTP Event Port,LOW,Web Services,Enable HTTPS; Keep web server updated; Use a Web Application Firewall (WAF).
2070,tcp,ah-esp-encap,AH and ESP Encapsulated in UDP packet,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2070,udp,ah-esp-encap,AH and ESP Encapsulated in UDP packet,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2071,tcp,acp-port,Axon Control Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2071,udp,acp-port,Axon Control Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2072,tcp,msync,GlobeCast mSync,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2072,udp,msync,GlobeCast mSync,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2073,tcp,gxs-data-port,DataReel Database Socket,MEDIUM,Database,Restrict database access; Disable public exposure; Enable encryption; Use strong authentication.
2073,udp,gxs-data-port,DataReel Database Socket,MEDIUM,Database,Restrict database access; Disable public exposure; Enable encryption; Use strong authentication.
2074,tcp,vrtl-vmf-sa,Vertel VMF SA,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2074,udp,vrtl-vmf-sa,Vertel VMF SA,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2075,tcp,newlixengine,Newlix ServerWare Engine,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2075,udp,newlixengine,Newlix ServerWare Engine,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2076,tcp,newlixconfig,Newlix JSPConfig,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2076,udp,newlixconfig,Newlix JSPConfig,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2077,tcp,tsrmagt,Old Tivoli Storage Manager,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2077,udp,tsrmagt,Old Tivoli Storage Manager,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2078,tcp,tpcsrvr,IBM Total Productivity Center Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2078,udp,tpcsrvr,IBM Total Productivity Center Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2079,tcp,idware-router,IDWARE Router Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2079,udp,idware-router,IDWARE Router Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2080,tcp,autodesk-nlm,Autodesk NLM (FLEXlm),LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2080,udp,autodesk-nlm,Autodesk NLM (FLEXlm),LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2081,tcp,kme-trap-port,KME PRINTER TRAP PORT,LOW,Printing Services,Restrict printer access; Disable unused print services.
2081,udp,kme-trap-port,KME PRINTER TRAP PORT,LOW,Printing Services,Restrict printer access; Disable unused print services.
2082,tcp,infowave,Infowave Mobility Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2082,udp,infowave,Infowave Mobility Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2083,tcp,radsec,Secure Radius Service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2083,udp,radsec,Secure Radius Service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2084,tcp,sunclustergeo,SunCluster Geographic,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2084,udp,sunclustergeo,SunCluster Geographic,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2085,tcp,ada-cip,ADA Control,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2085,udp,ada-cip,ADA Control,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2086,tcp,gnunet,GNUnet,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2086,udp,gnunet,GNUnet,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2087,tcp,eli,ELI - Event Logging Integration,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2087,udp,eli,ELI - Event Logging Integration,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2088,tcp,ip-blf,IP Busy Lamp Field,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2088,udp,ip-blf,IP Busy Lamp Field,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2089,tcp,sep,Security Encapsulation Protocol - SEP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2089,udp,sep,Security Encapsulation Protocol - SEP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2090,tcp,lrp,Load Report Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2090,udp,lrp,Load Report Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2091,tcp,prp,PRP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2091,udp,prp,PRP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2092,tcp,descent3,Descent 3,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2092,udp,descent3,Descent 3,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2093,tcp,nbx-cc,NBX CC,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2093,udp,nbx-cc,NBX CC,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2094,tcp,nbx-au,NBX AU,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2094,udp,nbx-au,NBX AU,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2095,tcp,nbx-ser,NBX SER,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2095,udp,nbx-ser,NBX SER,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2096,tcp,nbx-dir,NBX DIR,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2096,udp,nbx-dir,NBX DIR,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2097,tcp,jetformpreview,Jet Form Preview,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2097,udp,jetformpreview,Jet Form Preview,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2098,tcp,dialog-port,Dialog Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2098,udp,dialog-port,Dialog Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2099,tcp,h2250-annex-g,H.225.0 Annex G Signalling,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2099,udp,h2250-annex-g,H.225.0 Annex G Signalling,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2100,tcp,amiganetfs,Amiga Network Filesystem,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2100,udp,amiganetfs,Amiga Network Filesystem,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2101,tcp,rtcm-sc104,rtcm-sc104,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2101,udp,rtcm-sc104,rtcm-sc104,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2102,tcp,zephyr-srv,Zephyr server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2102,udp,zephyr-srv,Zephyr server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2103,tcp,zephyr-clt,Zephyr serv-hm connection,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2103,udp,zephyr-clt,Zephyr serv-hm connection,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2104,tcp,zephyr-hm,Zephyr hostmanager,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2104,udp,zephyr-hm,Zephyr hostmanager,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2105,tcp,minipay,MiniPay,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2105,udp,minipay,MiniPay,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2106,tcp,mzap,MZAP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2106,udp,mzap,MZAP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2107,tcp,bintec-admin,BinTec Admin,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2107,udp,bintec-admin,BinTec Admin,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2108,tcp,comcam,Comcam,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2108,udp,comcam,Comcam,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2109,tcp,ergolight,Ergolight,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2109,udp,ergolight,Ergolight,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2110,tcp,umsp,UMSP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2110,udp,umsp,UMSP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
2111,tcp,dsatp,OPNET Dynamic Sampling Agent Transaction Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
